sample_code,compactdry,severity,hard_negative,n_small_sharp_blobs_mean,n_small_sharp_blobs_max,n_large_blotches_mean,n_large_blotches_max,avg_small_blob_diam_px_mean,avg_small_blob_diam_px_max,avg_large_blotch_diam_px_mean,avg_large_blotch_diam_px_max,cluster_density_mean,cluster_density_max,ratio_small_to_large_mean,ratio_small_to_large_max
S001,1,mild,False,1.0,2.0,0.0,0.0,8.080858849970578,16.57480516102568,0.0,0.0,0.01493566046640141,0.03480144981888006,0.499999750000125,0.99999950000025
S002,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S003,1,severe,False,5.25,9.0,0.0,0.0,11.821345170579512,16.850284264973098,0.0,0.0,0.022037187459639236,0.033533859983445234,0.7499998865079547,0.9999998888889013
S004,1,mild,False,1.5,3.0,0.0,0.0,14.380582538213158,22.539356209735228,0.0,0.0,0.006825816779849822,0.018202036914982556,0.7499995416670069,0.9999996666667778
S005,1,mild,False,1.75,3.0,0.0,0.0,17.8690389087597,22.397686948112614,0.0,0.0,0.006173299483370481,0.01548817744560984,0.9999992916672569,0.9999996666667778
S006,1,severe,False,13.5,23.0,0.0,0.0,16.80520572814998,17.665486995928546,0.0,0.0,0.033494505634421565,0.03509409287015789,0.9999999065411596,0.999999956521741
S007,1,severe,False,8.5,12.0,0.0,0.0,17.763651526530797,20.66677317040743,0.0,0.0,0.03193603844946679,0.03619992899942208,0.9999998701389077,0.9999999166666736
S008,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S009,0,none,True,0.0,0.0,0.75,1.0,0.0,0.0,53.10093275960479,83.27101873177544,0.0,0.0,0.0,0.0
S010,0,none,True,0.0,0.0,0.25,1.0,0.0,0.0,12.672305929850431,50.689223719401724,0.0,0.0,0.0,0.0
S011,0,none,True,0.0,0.0,1.0,1.0,0.0,0.0,77.60496741390932,84.6885963721986,0.0,0.0,0.0,0.0
S012,1,mild,False,1.25,3.0,0.0,0.0,11.360279231536815,17.74084970922429,0.0,0.0,0.0036925007136662043,0.014770002854664817,0.7499994166671945,0.9999996666667778
S013,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S014,1,mild,False,1.75,2.0,0.0,0.0,16.922816451344545,20.74403232580684,0.0,0.0,0.011388225555195983,0.020049242517243215,0.9999993750004375,0.99999950000025
S015,1,mild,False,2.25,3.0,0.0,0.0,18.22172458051296,22.197831060995757,0.0,0.0,0.01612414289484819,0.03515807780818514,0.9999994583337013,0.9999996666667778
S016,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S017,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S018,1,severe,False,14.5,24.0,0.0,0.0,11.994975118930123,16.638862595732913,0.0,0.0,0.02176554820022652,0.030544189392702446,0.7499999597587741,0.999999958333335
S019,0,none,True,0.0,0.0,0.25,1.0,0.0,0.0,22.42609239636699,89.70436958546796,0.0,0.0,0.0,0.0
S020,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S021,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S022,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S023,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S024,1,mild,False,2.0,3.0,0.0,0.0,16.2344616641237,18.19164121889601,0.0,0.0,0.010933928899478352,0.026724858316600996,0.9999993333338889,0.9999996666667778
S025,1,mild,False,1.25,3.0,0.0,0.0,13.438227361132487,20.806283791440396,0.0,0.0,0.006162183261564184,0.024648733046256737,0.7499994166671945,0.9999996666667778
S026,1,mild,False,1.0,2.0,0.0,0.0,13.634000842212528,21.938198374294355,0.0,0.0,0.003150347217581705,0.01260138887032682,0.7499993750005625,0.99999950000025
S027,0,none,True,0.0,0.0,0.75,1.0,0.0,0.0,51.27928838667901,69.63114379608811,0.0,0.0,0.0,0.0
S028,1,severe,False,10.0,14.0,0.0,0.0,17.164396353889643,18.276853547941972,0.0,0.0,0.029740765336021168,0.031015797740766127,0.9999998904762036,0.9999999285714337
S029,0,none,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
