sample_code,mean_R,mean_G,mean_B,sd_R,sd_G,sd_B,brightness_mean,brightness_sd,texture,A_high,A_low,F_p95,F_p05,blob_max,NDFI_mean,NDFI_p95,NDFI_p05,n_small_sharp_blobs,n_large_blotches,avg_small_blob_diam_px,avg_large_blotch_diam_px,cluster_density,ratio_small_to_large,uv_exclusive_dot_frac,compactdry
S001,0.0015857566613703966,0.0019805694464594126,0.05565982311964035,0.0023452993482351303,0.0069074202328920364,0.08634437620639801,0.019742051139473915,0.030022935941815376,0.012528710067272186,0.23804972420225937,0.0,0.07909413427114487,0.001315283589065075,291.0,-0.6695977449417114,-0.31639787554740906,-0.9621228575706482,15.0,0.0,7.3903233980415965,0.0,0.025352002633682785,0.9999999333333378,1.0,1
S002,0.0037890153471380472,0.004499249160289764,0.11179952323436737,0.004870573990046978,0.009222054854035378,0.10903415083885193,0.040029264986515045,0.03823642060160637,0.020642602816224098,0.028040396595999495,0.0,0.11286699771881104,0.0024209802504628897,1636.0,-0.7837347388267517,-0.4745274782180786,-0.9581900238990784,60.0,2.0,6.41147917697168,44.14761667008064,0.0571826405743291,0.9677419198751304,0.8,1
S003,0.0059076938778162,0.003520798170939088,0.08394016325473785,0.0072824484668672085,0.006105115171521902,0.09026288986206055,0.031122885644435883,0.030445650219917297,0.009983258321881294,0.08370279098868788,0.0,0.10034298151731491,0.002475517801940441,1928.0,-0.7674541473388672,-0.3556894063949585,-0.9536219239234924,36.0,1.0,7.596771335238041,49.54599723740954,0.051882052793556115,0.9729729466764069,0.33333333333333337,1
S004,0.0023455731570720673,0.0025259344838559628,0.06175334379076958,0.0032157066743820906,0.00452918466180563,0.1135411188006401,0.022208280861377716,0.03880641236901283,0.017164595425128937,0.23175071108603276,0.0,0.1054568663239479,0.0010117565980181098,1473.0,-0.6428108811378479,-0.27256396412849426,-0.9463307857513428,35.0,2.0,6.3500050593209965,42.205721343180244,0.04978604736888052,0.94594592037984,0.5428571428571429,0
S005,0.004150998312979937,0.007461313158273697,0.09453064203262329,0.00717895058915019,0.016465168446302414,0.13230128586292267,0.03538098558783531,0.04864941164851189,0.02678394690155983,0.1681732861962943,0.0,0.14190958440303802,0.0015290292212739587,2020.0,-0.648745059967041,-0.2811332643032074,-0.9381567239761353,66.0,2.0,5.610022401999128,47.79744965879354,0.059881586431341616,0.9705882210207615,0.31818181818181823,1
S006,0.004491015337407589,0.007192140445113182,0.1595764011144638,0.007665276527404785,0.013511128723621368,0.1567409485578537,0.0570865236222744,0.054966896772384644,0.024059150367975235,0.11811129408061662,0.0,0.1697174310684204,0.0074710845947265625,312.0,-0.8254046440124512,-0.6413335204124451,-0.9431262016296387,79.0,0.0,6.326317382687339,0.0,0.08214088839314741,0.9999999873417723,0.5316455696202531,0
S007,0.0021886625327169895,0.002342985477298498,0.03853602707386017,0.002672325586900115,0.005110542755573988,0.05915088206529617,0.014355892315506935,0.020822986960411072,0.008441459387540817,0.2508742231792935,0.0,0.058042265474796295,0.001315283589065075,1613.0,-0.6055085062980652,-0.2498970925807953,-0.9388190507888794,18.0,2.0,8.172540786689044,44.275713772344524,0.023235579409346695,0.8999999550000022,1.0,1
S008,0.0018652097787708044,0.0018953185062855482,0.09110511094331741,0.0016046944074332714,0.0013566565467044711,0.13739609718322754,0.03162188082933426,0.046054646372795105,0.008212964050471783,0.21279993244202874,0.0,0.144967719912529,0.001112932339310646,3118.0,-0.7307705879211426,-0.31639787554740906,-0.9658697843551636,7.0,1.0,6.364940410006883,63.007625732797116,0.02999156168834934,0.8749998906250137,1.0,0
S009,0.003403004026040435,0.003842361969873309,0.07521896809339523,0.006610296666622162,0.012904715724289417,0.09783676266670227,0.027488112449645996,0.034692589193582535,0.013576548546552658,0.16410829235712066,0.0,0.10159773379564285,0.0018474506214261055,3283.0,-0.7244418263435364,-0.3522500991821289,-0.9596248269081116,29.0,2.0,6.877833066229386,52.90989215268189,0.03779499858104277,0.9354838407908438,0.4137931034482759,1
S010,0.0014372561126947403,0.004214765969663858,0.17402543127536774,0.0023542349226772785,0.007287666667252779,0.1940125823020935,0.059892479330301285,0.0656917542219162,0.013227392919361591,0.11433802784463203,0.0,0.18505679070949554,0.001315283589065075,3804.0,-0.736045777797699,-0.32684236764907837,-0.9632506966590881,36.0,1.0,7.092227820751327,69.59456320843287,0.0361160373220097,0.9729729466764069,0.9444444444444444,1
