sample_code,compactdry,severity,hard_negative
S001,1,mild,False
S002,0,none,False
S003,1,severe,False
S004,1,mild,False
S005,1,mild,False
S006,1,severe,False
S007,1,severe,False
S008,0,none,False
S009,0,none,True
S010,0,none,True
S011,0,none,True
S012,1,mild,False
S013,0,none,False
S014,1,mild,False
S015,1,mild,False
S016,0,none,False
S017,0,none,False
S018,1,severe,False
S019,0,none,True
S020,0,none,False
S021,0,none,False
S022,0,none,False
S023,0,none,False
S024,1,mild,False
S025,1,mild,False
S026,1,mild,False
S027,0,none,True
S028,1,severe,False
S029,0,none,False
S030,1,severe,False
S031,0,none,False
S032,1,mild,False
S033,1,severe,False
S034,1,severe,False
S035,0,none,True
S036,0,none,True
S037,1,mild,False
S038,0,none,False
S039,0,none,False
S040,1,mild,False
S041,0,none,False
S042,1,mild,False
S043,0,none,True
S044,0,none,True
S045,1,severe,False
S046,1,mild,False
S047,0,none,False
S048,1,severe,False
S049,0,none,False
S050,0,none,True
S051,1,mild,False
S052,0,none,False
S053,1,severe,False
S054,0,none,True
S055,1,mild,False
S056,0,none,True
S057,0,none,True
S058,1,severe,False
S059,1,mild,False
S060,1,mild,False
