name,accuracy,recall,specificity,precision,kappa,auc,accuracy_sd,recall_sd,specificity_sd,precision_sd,kappa_sd,auc_sd,threshold_mean,fn_total,fp_total,passes,d_kappa_mean,d_kappa_sd,d_kappa_t,d_kappa_p,d_acc_mean,folds_not_worse,kappa_r15,accuracy_r15,auc_r15,kappa_fresh_repeats,accuracy_fresh_repeats
GradBoost d2,0.8366666666666666,0.8971428571428571,0.7519999999999999,0.8498730158730159,0.6566489790019202,0.912,0.11902380714238082,0.13375782766845848,0.2181742422927143,0.12371302074413063,0.25264492833557256,0.1163270079952014,0.5,18,31,accuracy✓ recall✓ kappa✓,0.09683915618950074,0.21938205868898142,2.207089238933387,0.03711733906343877,0.04333333333333334,0.76,0.652024514114647,0.8344444444444444,0.9089523809523808,0.6497122816710104,0.8333333333333331
GradBoost stumps d1,0.8333333333333335,0.8914285714285713,0.752,0.8473809523809525,0.6495853412618119,0.9154285714285715,0.1272937693043289,0.13222327025633163,0.22568414506414344,0.1315667706138431,0.26749543569300654,0.11353323706460303,0.5,19,31,accuracy✓ recall✓ kappa✓,0.08977551844939242,0.23149881635493322,1.9390059928373218,0.06434541007224147,0.04000000000000001,0.76,0.634025845703265,0.8266666666666665,0.9066666666666666,0.6262460979239917,0.8233333333333331
Vote soft LR+ET+GB,0.8266666666666667,0.8971428571428572,0.7280000000000001,0.840873015873016,0.6318596308302191,0.8994285714285715,0.1224744871391589,0.11308897225750399,0.24413111231467402,0.13360572492573142,0.26722749752800395,0.11870044615909137,0.5,18,34,accuracy✓ recall✓ kappa✓,0.07204980801779964,0.1947171492352118,1.8501145970138944,0.07664733357824526,0.03333333333333335,0.76,0.645636548313019,0.8322222222222222,0.8857142857142858,0.6525250070544187,0.8349999999999999
Vote soft LR+RF,0.8099999999999998,0.8742857142857143,0.7200000000000002,0.8359682539682541,0.5993503246119346,0.8948571428571429,0.11415956993352508,0.138750497946033,0.2449489742783178,0.1286203018841634,0.24887201213024868,0.11300472568530436,0.5,22,35,accuracy✓ recall✓ kappa✗,0.0395405017995151,0.17880265879649612,1.1057022883680392,0.2798165459060252,0.016666666666666677,0.68,,,,,
Vote soft LR+RF+SVM,0.8033333333333332,0.8685714285714287,0.7120000000000002,0.8281904761904763,0.5856922815421268,0.8868571428571428,0.11506841765115543,0.13627702877384937,0.2386070689089771,0.12460420036311516,0.2500904625325557,0.11880355935023883,0.5,23,36,accuracy✓ recall✓ kappa✗,0.025882458729707323,0.1809987809491533,0.7149898633012974,0.4815131885992051,0.010000000000000009,0.68,,,,,
HistGB shallow d2,0.8033333333333332,0.8857142857142857,0.688,0.8156233766233767,0.582546157434203,0.8891428571428571,0.12702070405748528,0.14869042853329523,0.25219040425836986,0.1340063174576846,0.2688502103197306,0.10732365697710258,0.5,20,39,accuracy✓ recall✓ kappa✗,0.02273633462178354,0.2357904281408753,0.4821301441507094,0.6340813379517255,0.009999999999999993,0.68,0.6095379291290106,0.8155555555555556,0.8853333333333334,0.6230338149764146,0.8216666666666668
Vote LR+RF + inner-CV thr,0.7933333333333333,0.8457142857142856,0.7200000000000002,0.8301746031746032,0.5721842190387082,0.8948571428571429,0.13419858143534624,0.20169351032902258,0.23094010767585033,0.1294552506527207,0.2753141444734873,0.11300472568530436,0.5256000000000001,27,35,accuracy✗ recall✓ kappa✗,0.012374396226288775,0.21043081850580572,0.29402528380003823,0.7712664742120181,1.1102230246251566e-17,0.64,,,,,
LogReg L2 C=1,0.7933333333333333,0.8457142857142856,0.7200000000000002,0.8310476190476191,0.5672627259361006,0.854857142857143,0.1156703489647612,0.14238015607358145,0.2449489742783178,0.13147025025753878,0.2505067141313406,0.11544648611570033,0.5,27,35,accuracy✗ recall✓ kappa✗,0.007452903123681129,0.18670406999837472,0.19959134055690395,0.8434816281733081,4.440892098500626e-18,0.68,0.5612336923993271,0.79,0.8396190476190476,0.5582191756309404,0.7883333333333333
RF balanced leaf2,0.7933333333333333,0.8571428571428572,0.7040000000000001,0.8239206349206349,0.5659443578901783,0.8948571428571428,0.12527746981977422,0.1749635530559413,0.2589723279940671,0.12478584157196566,0.2698500911614896,0.1292890028521506,0.5,25,37,accuracy✗ recall✓ kappa✗,0.0061345350777589,0.1817026475537353,0.16880698108553208,0.8673631063260836,0.0,0.76,,,,,
Vote LR+RF+SVM + inner-CV thr,0.79,0.84,0.72,0.8273968253968255,0.5629393859703459,0.8868571428571428,0.12756625003561148,0.1765119332652442,0.24494897427831783,0.1270602904857586,0.2690321351968282,0.11880355935023883,0.51,28,35,accuracy✗ recall✓ kappa✗,0.003129563157926305,0.20404497127400262,0.07668807367283162,0.9395074228349968,-0.0033333333333333305,0.64,,,,,
SVM linear tuned C,0.7933333333333333,0.8742857142857141,0.68,0.8194386724386726,0.5609616453731604,0.8462857142857143,0.1024017143953709,0.1447493728911492,0.2581988897471611,0.12418578251522089,0.22913359895937807,0.11318517727044253,0.5,22,40,accuracy✗ recall✓ kappa✗,0.0011518225607409826,0.1951561209891526,0.029510285275781957,0.9767016471516556,8.881784197001253e-18,0.6,,,,,
LogReg L1 tuned C,0.7866666666666666,0.8228571428571427,0.7360000000000002,0.8251673881673882,0.5606464357304265,0.856,0.11804738533819877,0.17631912934832017,0.20591260281974,0.10062571801507403,0.24698092759289492,0.10832051206181283,0.5,31,33,accuracy✗ recall✓ kappa✗,0.0008366129180071047,0.20965169078607626,0.019952448627298818,0.984246260743985,-0.0066666666666666515,0.72,,,,,
baseline RF 400 (thr 0.5),0.7933333333333333,0.8857142857142858,0.664,0.8055598845598846,0.5598098228124194,0.8982857142857144,0.1024017143953709,0.13041013273932528,0.2360790827950103,0.11346907771991549,0.22829928909169256,0.12339582899046832,0.5,20,42,accuracy✗ recall✓ kappa✗,,,,,,,0.5525951705881297,0.7888888888888889,0.892190476190476,0.5489878444759849,0.7866666666666666
RF + inner-CV thr,0.7766666666666667,0.7885714285714286,0.76,0.8458412698412698,0.5470721186494802,0.8982857142857144,0.13333333333333333,0.21868500006104827,0.223606797749979,0.12789167670015822,0.2643465441226338,0.12339582899046832,0.5660000000000001,37,30,accuracy✗ recall✗ kappa✗,-0.012737704162939139,0.18328072262889444,-0.34749165051936076,0.7312509868489973,-0.016666666666666663,0.68,,,,,
ExtraTrees 400,0.7833333333333333,0.8571428571428571,0.68,0.8075656565656566,0.5439939564642952,0.8788571428571429,0.11023963796102461,0.1486904285332952,0.23094010767585033,0.1196943817907278,0.23564400365369262,0.11591986441497593,0.5,25,40,accuracy✗ recall✓ kappa✗,-0.015815866348124395,0.16353901129333603,-0.4835502618930431,0.6330876217559724,-0.009999999999999988,0.6,,,,,
ExtraTrees leaf2,0.7833333333333333,0.88,0.6480000000000001,0.7971111111111111,0.5379563508061961,0.8857142857142857,0.09918650595198403,0.13477115902938006,0.24000000000000005,0.11206052941734827,0.22384046511595568,0.10626625525914951,0.5,21,44,accuracy✗ recall✓ kappa✗,-0.021853472006223416,0.16717533256694098,-0.6536093474637702,0.5195772349000876,-0.009999999999999986,0.56,,,,,
SVM linear C=1,0.7833333333333333,0.8857142857142857,0.64,0.7940822510822511,0.5364047651881968,0.8605714285714287,0.11785113019775792,0.1367753011080483,0.2516611478423583,0.11872031081535632,0.2657194018600431,0.1152695746063634,0.5,20,45,accuracy✗ recall✓ kappa✗,-0.023405057624222715,0.1923351427202015,-0.6084446475356585,0.5486084170124393,-0.009999999999999992,0.56,,,,,
LogReg L2 balanced,0.7666666666666666,0.7771428571428571,0.752,0.8381111111111111,0.5227023040273814,0.8537142857142858,0.11536977587386214,0.16536909861128893,0.23295206946208197,0.1298502340827356,0.2435482132867851,0.11556427666375249,0.5,39,31,accuracy✗ recall✗ kappa✗,-0.037107518785038,0.21041282559510197,-0.8817789191340482,0.3866426135124537,-0.026666666666666665,0.64,,,,,
LogReg L2 + inner-CV thr,0.7666666666666666,0.8114285714285714,0.7040000000000001,0.8157460317460317,0.5164969961703708,0.854857142857143,0.10206207261596575,0.1635074734608514,0.22449944320643647,0.12104072956511719,0.21497279292083835,0.11544648611570033,0.5108,33,37,accuracy✗ recall✓ kappa✗,-0.04331282664204864,0.21231926475160273,-1.0199928558701756,0.31790430501349826,-0.026666666666666665,0.64,,,,,
