name,condition,accuracy,recall,specificity,precision,kappa,auc,accuracy_sd,recall_sd,specificity_sd,precision_sd,kappa_sd,auc_sd,threshold_mean,fn_total,fp_total,passes,d_kappa,sd_of_diff,se_of_diff,t,folds_better,folds_worse,d_accuracy
1d ratio/brightness +ref sel10,as-measured,0.81,0.8971428571428572,0.6880000000000002,0.8171212121212121,0.5947072351806697,0.8834285714285715,0.09477067838462211,0.09689042833036098,0.22420228961066985,0.11041390384065304,0.21257026910898444,0.12231330351882039,0.5,18.0,39.0,accuracy✓ recall✓ kappa✗,,,,,,,
7e intensity-free + contrast,as-measured,0.8033333333333332,0.8628571428571429,0.72,0.8337243867243868,0.5858454970805416,0.8668571428571429,0.10452715401237099,0.13350329303691608,0.24494897427831783,0.12232373723580564,0.22950453968755635,0.11943176117863831,0.5,24.0,35.0,accuracy✓ recall✓ kappa✗,,,,,,,
4a quantile(in-fold) RF sel10,as-measured,0.8033333333333332,0.88,0.696,0.8166926406926407,0.5857599940832737,0.8994285714285715,0.10452715401237099,0.14093951035189278,0.20912516188477495,0.10996122344523762,0.22274561102824386,0.1189151644094672,0.5,21.0,38.0,accuracy✓ recall✓ kappa✗,,,,,,,
7b ratio+log sel10,as-measured,0.8033333333333335,0.8857142857142857,0.6880000000000002,0.8153910533910533,0.5822227686667915,0.8874285714285715,0.08633483482177806,0.10101525445522108,0.2166410241236256,0.10747175359173321,0.1941561406718226,0.11695687908210382,0.5,20.0,39.0,accuracy✓ recall✓ kappa✗,,,,,,,
1a ratio/brightness sel10,as-measured,0.8033333333333335,0.8857142857142857,0.6880000000000002,0.8153910533910533,0.5822227686667915,0.8874285714285715,0.08633483482177806,0.10101525445522108,0.2166410241236256,0.10747175359173321,0.1941561406718226,0.11695687908210382,0.5,20.0,39.0,accuracy✓ recall✓ kappa✗,,,,,,,
1c ratio/mean_B sel10,as-measured,0.8,0.8742857142857143,0.6960000000000001,0.8165180375180375,0.5775113528965522,0.8868571428571428,0.09622504486493763,0.11895234282663615,0.21694853460363975,0.10900539784261691,0.21068640966820945,0.12629734917314483,0.5,22.0,38.0,accuracy✓ recall✓ kappa✗,,,,,,,
0c baseline LR sel10,as-measured,0.7933333333333333,0.8457142857142856,0.7200000000000002,0.8310476190476191,0.5672627259361006,0.854857142857143,0.1156703489647612,0.14238015607358145,0.2449489742783178,0.13147025025753878,0.2505067141313406,0.11544648611570033,0.5,27.0,35.0,accuracy✗ recall✓ kappa✗,,,,,,,
5b intensity-free sel10,as-measured,0.7933333333333334,0.8914285714285713,0.6560000000000001,0.7900721500721501,0.5615789447743907,0.9011428571428571,0.12294608875739292,0.13222327025633163,0.19595917942265426,0.10190477601652632,0.2651165792068824,0.11561135927995063,0.5,19.0,43.0,accuracy✗ recall✓ kappa✗,,,,,,,
0  baseline RF sel10,as-measured,0.7933333333333333,0.8857142857142858,0.664,0.8055598845598846,0.5598098228124194,0.8982857142857144,0.1024017143953709,0.13041013273932528,0.2360790827950103,0.11346907771991549,0.22829928909169256,0.12339582899046832,0.5,20.0,42.0,accuracy✗ recall✓ kappa✗,,,,,,,
2a log counts sel10,as-measured,0.79,0.88,0.664,0.8038196248196249,0.5540774119595152,0.9011428571428571,0.1024017143953709,0.13477115902938006,0.22891046284519195,0.11287167329775047,0.2256502540105504,0.11866032238639647,0.5,21.0,42.0,accuracy✗ recall✓ kappa✗,,,,,,,
