name,accuracy,recall,specificity,precision,kappa,auc,accuracy_sd,recall_sd,specificity_sd,precision_sd,kappa_sd,auc_sd,threshold_mean,fn_total,fp_total,passes,rows_key,n_rows,family,k,selection,delta_kappa_vs_baseline,delta_kappa_se,delta_accuracy_vs_baseline,delta_accuracy_se
L1 in-fold (C=0.5),0.8166666666666668,0.8742857142857143,0.7360000000000001,0.8358989898989898,0.6172527366348399,0.8834285714285716,0.11283386673105499,0.1505093393264677,0.20591260281974,0.11325825433851963,0.2362176691852307,0.11892946517610695,0.5,22,33,accuracy✓ recall✓ kappa✓,full,60,l1,,in-fold L1 logistic,0.05744291382242045,0.03098780932553189,0.02333333333333333,0.014043582955293931
"pinned10 fixed, drop S045+S011+S031",0.8142424242424242,0.901904761904762,0.6859999999999999,0.8119841269841269,0.6015940747147291,0.8669523809523811,0.08750792521719843,0.11466537466972387,0.2094238127179747,0.09580881958868263,0.19590902542310815,0.10472428978392885,0.5,16,37,accuracy✓ recall✓ kappa✗,no_s045_outliers,57,row-drop,10.0,fixed-pinned,,,,
"pinned10 fixed, drop S045 (bad framing)",0.7978787878787879,0.8666666666666667,0.7040000000000001,0.8068730158730159,0.5789275840630195,0.8803809523809524,0.11255206597095936,0.1302288815985868,0.17435595774162693,0.10929554802387079,0.23082576247260614,0.11076180922350493,0.5,23,37,accuracy✗ recall✓ kappa✗,no_s045,59,row-drop,10.0,fixed-pinned,,,,
whole-data top-12 (LEAKY),0.7966666666666665,0.8914285714285713,0.664,0.8054862914862915,0.5675176971645064,0.8971428571428572,0.11044941862261691,0.13850513878332368,0.22891046284519195,0.12136071793440599,0.23852865185462716,0.12233554836823933,0.5,19,42,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,12.0,ranked on all 60 heads,0.00770787435208689,0.027638523066147874,0.003333333333333337,0.012247448713915891
whole-data top-14 (LEAKY),0.7966666666666667,0.8914285714285713,0.6640000000000001,0.8057085137085137,0.5663218608835306,0.8822857142857142,0.11804738533819877,0.13222327025633163,0.24303634844744249,0.12793019958323149,0.2553208961597049,0.12924953453251098,0.5,19,42,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,14.0,ranked on all 60 heads,0.006512038071111293,0.02468468158630094,0.0033333333333333414,0.011262852740396274
whole-data top-15 (LEAKY),0.7966666666666667,0.8971428571428572,0.6560000000000001,0.8023751803751804,0.5662298183766276,0.8805714285714284,0.10507933510765409,0.13375782766845848,0.22744962812309308,0.11597116500479199,0.22902932377656662,0.1252806373516598,0.5,18,43,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,15.0,ranked on all 60 heads,0.006419995564208105,0.024604695573241193,0.0033333333333333414,0.011262852740396274
whole-data top-09 (LEAKY),0.7933333333333333,0.8628571428571429,0.6960000000000001,0.8147619047619047,0.566103426250485,0.8822857142857142,0.12527746981977425,0.1622545241657221,0.23180451534284946,0.11611652902114047,0.26909832138538703,0.13679270776601793,0.5,24,38,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,9.0,ranked on all 60 heads,0.006293603438065638,0.03155308965000091,-2.220446049250313e-18,0.014433756729740644
whole-data top-08 (LEAKY),0.7933333333333333,0.88,0.6720000000000002,0.8066984126984127,0.561975779122838,0.9011428571428571,0.12756625003561148,0.15800628593368626,0.24413111231467408,0.11994291433883197,0.27632004776414776,0.12302314366634849,0.5,21,41,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,8.0,ranked on all 60 heads,0.0021659563104185196,0.034406813551148094,-2.220446049250313e-18,0.015214515486254613
whole-data top-13 (LEAKY),0.7933333333333333,0.8914285714285713,0.6560000000000001,0.8014227994227994,0.5599441040909133,0.8822857142857142,0.10518942349311937,0.13850513878332368,0.22744962812309308,0.11559983055436306,0.22858621647638078,0.1224939259912993,0.5,19,43,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,13.0,ranked on all 60 heads,0.00013428127849381965,0.02378799680694555,6.661338147750939e-18,0.01075828707279838
"pinned10 fixed (BASELINE, leaky selection)",0.7933333333333333,0.8857142857142858,0.664,0.8055598845598846,0.5598098228124194,0.8982857142857144,0.1024017143953709,0.13041013273932528,0.2360790827950103,0.11346907771991549,0.22829928909169256,0.12339582899046832,0.5,20,42,accuracy✗ recall✓ kappa✗,full,60,reference,10.0,fixed-pinned,0.0,0.0,0.0,0.0
"all 24 features, drop S045+S011+S031",0.7957575757575758,0.92,0.624,0.7834126984126983,0.559048498815068,0.8193333333333332,0.11280164810463057,0.10122081711329141,0.23766222529744463,0.12466282104555956,0.2491110083627524,0.15259056763217674,0.5,13,45,accuracy✗ recall✓ kappa✗,no_s045_outliers,57,row-drop,24.0,none,,,,
whole-data top-11 (LEAKY),0.79,0.8742857142857144,0.672,0.8080101010101012,0.5559608345225044,0.8914285714285713,0.1181453906563152,0.1560568534111804,0.23720595832876262,0.12498106154863987,0.25206726561331916,0.1169336110267493,0.5,22,41,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,11.0,ranked on all 60 heads,-0.003848988289915072,0.025918759003333368,-0.003333333333333337,0.012247448713915893
whole-data top-10 (LEAKY),0.7899999999999998,0.88,0.664,0.804909090909091,0.5530898075335806,0.8885714285714286,0.10790513666419461,0.13477115902938006,0.24303634844744249,0.11702210820151641,0.23934571772721047,0.12316683006073871,0.5,21,42,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,10.0,ranked on all 60 heads,-0.006720015278838805,0.02580784990618956,-0.003333333333333339,0.01126285274039628
pinned10 + uv_exclusive_dot_frac,0.79,0.8857142857142858,0.6560000000000001,0.8025281385281385,0.5525310350367276,0.8885714285714286,0.11055415967851333,0.14285714285714285,0.24166091947189144,0.11772955369526862,0.2427729057986873,0.12750883656186557,0.5,20,43,accuracy✗ recall✓ kappa✗,full,60,uv,11.0,fixed-pinned + uv,-0.007278787775691802,0.01924063350632411,-0.003333333333333339,0.008975274678557509
whole-data top-07 (LEAKY),0.7866666666666667,0.8857142857142857,0.648,0.7942164502164504,0.5455286125871865,0.8805714285714287,0.12047360245667467,0.1367753011080483,0.232952069462082,0.1207343398581811,0.2602577345779234,0.1252806373516598,0.5,20,44,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,7.0,ranked on all 60 heads,-0.014281210225232982,0.03380876236536308,-0.006666666666666667,0.015153535218873176
"in-fold top-10, drop S045+S011+S031",0.7851515151515152,0.8819047619047619,0.648,0.7852857142857143,0.5431902761765283,0.8036190476190477,0.11938089581624522,0.13581867330430153,0.22289758485307404,0.12040146845218368,0.25273035391822124,0.15007260777347234,0.5,19,42,accuracy✗ recall✓ kappa✗,no_s045_outliers,57,row-drop,10.0,in-fold RF importance,,,,
RFE in-fold -> 12,0.7866666666666666,0.8914285714285713,0.64,0.7961587301587302,0.5430354772970872,0.8622857142857144,0.1130388330520878,0.12562767579307543,0.2449489742783178,0.12863151602317408,0.2489769310396754,0.13545589437055847,0.5,19,45,accuracy✗ recall✓ kappa✗,full,60,rfe,12.0,in-fold RFE,-0.016774345515332207,0.0259683174266646,-0.006666666666666661,0.011706281947614154
in-fold top-11 (RF importance),0.7833333333333333,0.8742857142857144,0.6560000000000001,0.8018989898989899,0.5393977707767781,0.8531428571428572,0.10485881160098263,0.138750497946033,0.24166091947189144,0.12218601443874717,0.23067859454272788,0.14407339399466806,0.5,22,43,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,11.0,in-fold RF importance,-0.02041205203564135,0.02653594553688442,-0.010000000000000004,0.012095300587265132
whole-data top-19 (LEAKY),0.7833333333333333,0.8857142857142858,0.64,0.7943593073593074,0.5374017053132204,0.8571428571428572,0.10485881160098262,0.1367753011080483,0.23804761428476168,0.12166930901367379,0.22930384439590787,0.13677530110804834,0.5,20,45,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,19.0,ranked on all 60 heads,-0.02240811749919908,0.026063122197337578,-0.009999999999999995,0.012095300587265134
whole-data top-18 (LEAKY),0.7833333333333334,0.8914285714285713,0.632,0.7893593073593073,0.5370095484504753,0.8611428571428571,0.10485881160098263,0.13850513878332368,0.2286190426597633,0.11526634464371764,0.22878444773185286,0.13587208870771042,0.5,19,46,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,18.0,ranked on all 60 heads,-0.02280027436194418,0.024252726674622797,-0.009999999999999995,0.011097213530798988
whole-data top-06 (LEAKY),0.7799999999999998,0.8914285714285713,0.6240000000000001,0.78,0.5306871416871417,0.88,0.11252571722516164,0.13850513878332368,0.21071307505705478,0.11016068853755306,0.23940345684949396,0.11930923634635764,0.5,19,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,6.0,ranked on all 60 heads,-0.029122681125277727,0.03218631519145872,-0.013333333333333332,0.014969103983674981
L1 in-fold (C=1.0),0.7766666666666667,0.8628571428571429,0.6560000000000001,0.7927619047619048,0.5287322267585426,0.8691428571428571,0.1243501626977744,0.15692625765032459,0.22744962812309308,0.12139870210493983,0.2636241184898847,0.12126599761215326,0.5,24,43,accuracy✗ recall✓ kappa✗,full,60,l1,,in-fold L1 logistic,-0.031077596053876864,0.029848850873897066,-0.016666666666666663,0.013608276348795434
"in-fold top-12, no-uv pool",0.7766666666666666,0.8685714285714287,0.6480000000000001,0.7938037518037518,0.5265995662757872,0.8640000000000001,0.11960583412006101,0.15386185163241442,0.24000000000000002,0.12858572741856367,0.2553077841922135,0.1429832776483839,0.5,23,44,accuracy✗ recall✓ kappa✗,full,60,uv,12.0,"in-fold RF importance, uv excluded",-0.033210256536632225,0.02927325206352326,-0.01666666666666666,0.01360827634879543
"in-fold top-10, drop S045 (bad framing)",0.7748484848484847,0.8666666666666666,0.6480000000000001,0.7833333333333333,0.5230216679108937,0.8403809523809523,0.12818337033709337,0.116439688500962,0.22568414506414344,0.12108285632606268,0.27725824731335225,0.14089338104529042,0.5,23,44,accuracy✗ recall✓ kappa✗,no_s045,59,row-drop,10.0,in-fold RF importance,,,,
in-fold top-15 (RF importance),0.7733333333333333,0.88,0.6240000000000001,0.7825180375180375,0.518121096470692,0.8514285714285714,0.10352580640880124,0.1580062859336863,0.21847959477565249,0.11509597507771963,0.21793036430622548,0.14362886792243498,0.5,21,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,15.0,in-fold RF importance,-0.04168872634172743,0.029194159025397508,-0.019999999999999997,0.012981468272831023
