k,kappa_infold,kappa_leaky,kappa_gap,acc_infold,acc_leaky,acc_gap
3,0.3371626736301659,0.3928552188578155,0.055692545227649604,0.6833333333333332,0.7133333333333334,0.030000000000000138
4,0.4173990373696256,0.40998862046205503,-0.0074104169075705495,0.7233333333333334,0.72,-0.0033333333333334103
5,0.4324315835710523,0.43543399861331555,0.003002415042263229,0.7299999999999999,0.7333333333333334,0.0033333333333335213
6,0.42139715271309197,0.5306871416871417,0.10928998897404973,0.7266666666666666,0.7799999999999998,0.05333333333333323
7,0.4669329875490867,0.5455286125871865,0.07859562503809986,0.7466666666666667,0.7866666666666667,0.040000000000000036
8,0.4559786187623,0.561975779122838,0.10599716036053802,0.7433333333333333,0.7933333333333333,0.050000000000000044
9,0.48577692066211997,0.566103426250485,0.08032650558836507,0.7566666666666666,0.7933333333333333,0.036666666666666736
10,0.4995343765635387,0.5530898075335806,0.053555430970041895,0.7633333333333333,0.7899999999999998,0.026666666666666505
11,0.5393977707767781,0.5559608345225044,0.01656306374572636,0.7833333333333333,0.79,0.00666666666666671
12,0.5050533477883923,0.5675176971645064,0.062464349376114114,0.7666666666666667,0.7966666666666665,0.029999999999999805
13,0.510147312647063,0.5599441040909133,0.0497967914438503,0.77,0.7933333333333333,0.023333333333333317
14,0.5032441732673931,0.5663218608835306,0.06307768761613752,0.7666666666666666,0.7966666666666667,0.030000000000000138
15,0.518121096470692,0.5662298183766276,0.048108721905935514,0.7733333333333333,0.7966666666666667,0.023333333333333428
16,0.5098389472473663,0.5177486747747408,0.00790972752737451,0.77,0.7733333333333333,0.0033333333333332993
17,0.5038123876356674,0.5107397169394073,0.00692732930373996,0.7666666666666667,0.77,0.0033333333333332993
18,0.4992674717672221,0.5370095484504753,0.037742076683253245,0.7633333333333333,0.7833333333333334,0.02000000000000013
19,0.5176716314654994,0.5374017053132204,0.019730073847720964,0.7733333333333334,0.7833333333333333,0.009999999999999898
20,0.49238735388116195,0.5012521946577675,0.008864840776605543,0.76,0.7666666666666667,0.00666666666666671
21,0.49307683887070686,0.5163077404545495,0.023230901583842667,0.7599999999999999,0.7733333333333333,0.01333333333333342
22,0.4601001702116254,0.47772466163617666,0.017624491424551247,0.7466666666666666,0.7533333333333333,0.00666666666666671
23,0.47535863723479826,0.482568639124117,0.007210001889318751,0.7533333333333333,0.7566666666666667,0.0033333333333334103
24,0.5058509667036583,0.4909292707525505,-0.01492169595110776,0.7666666666666666,0.76,-0.006666666666666599
