name,accuracy,recall,specificity,precision,kappa,auc,accuracy_sd,recall_sd,specificity_sd,precision_sd,kappa_sd,auc_sd,threshold_mean,fn_total,fp_total,passes,d_kappa_mean,d_kappa_sd,d_kappa_sem,d_acc_mean,win_folds,lose_folds,repeats
RF cw pos:neg=0.5:1 thr0.5,0.8166666666666668,0.8057142857142857,0.8320000000000001,0.8792222222222221,0.6333408013764051,0.8925714285714287,0.14027090192169553,0.20979419782772088,0.1796292478040997,0.11924497970290131,0.2737482354351906,0.1252290418599858,0.5,34,21,accuracy✓ recall✓ kappa✓,0.07353097856398566,0.2323197198237337,0.04646394396474674,0.023333333333333338,15,7,5
RF+calib-isotonic thr@innerCV-kappa,0.8133333333333335,0.8342857142857143,0.784,0.8652799422799423,0.6122081952698651,0.884,0.1056286296768419,0.11428571428571428,0.23748684174075835,0.126255288249628,0.23154939917730258,0.12958069479125756,0.4913510829581939,29,27,accuracy✓ recall✓ kappa✓,0.05239837245744566,0.13764275369860038,0.027528550739720076,0.020000000000000004,14,4,5
RF cw pos:neg=0.6:1 thr0.5,0.8033333333333335,0.822857142857143,0.7760000000000001,0.8520577200577201,0.5983783668270335,0.8925714285714286,0.1270207040574853,0.19023794624226836,0.21071307505705478,0.11933450830433089,0.25597753742408735,0.13022220674390256,0.5,31,28,accuracy✓ recall✓ kappa✗,0.03856854401461411,0.1784299187688513,0.03568598375377026,0.01,11,6,5
RF cw pos:neg=0.8:1 thr0.5,0.8066666666666665,0.8628571428571429,0.7280000000000001,0.8322481962481963,0.5959845930137552,0.8982857142857144,0.12665570127975553,0.15692625765032459,0.23007245235649862,0.12529443560747314,0.2679928759521738,0.1259197455243822,0.5,24,34,accuracy✓ recall✓ kappa✗,0.03617477020133567,0.17017558728647988,0.034035117457295976,0.013333333333333332,5,3,5
RF cw=balanced thr0.5,0.8033333333333332,0.84,0.7520000000000002,0.8393593073593074,0.5954170235932446,0.8891428571428571,0.13149778198382917,0.18589734567564892,0.21039645117412667,0.1255016365511366,0.26603048338169466,0.1312732000875445,0.5,28,31,accuracy✓ recall✓ kappa✗,0.03560720078082506,0.20935311949006793,0.04187062389801359,0.01,9,5,5
RF undersample x15 thr0.5,0.8,0.8114285714285715,0.784,0.8518989898989899,0.59538168303778,0.8982857142857142,0.1360827634879543,0.21317170748189898,0.19933221850301405,0.11458262873928766,0.2695826061832841,0.12373990716761646,0.5,33,27,accuracy✓ recall✓ kappa✗,0.03557186022536067,0.21228719173568225,0.04245743834713645,0.006666666666666665,11,7,5
RF thr0.55 (fixed),0.8033333333333332,0.8400000000000002,0.752,0.8401212121212122,0.5936569129538768,0.8982857142857144,0.12237994873283717,0.16141382149217423,0.2103964511741267,0.11868905285121241,0.2538056749786528,0.12339582899046832,0.55,28,31,accuracy✓ recall✓ kappa✗,0.03384709014145745,0.18171905262051632,0.036343810524103265,0.009999999999999995,8,5,5
RF cw pos:neg=0.6:1 thr@OOB-youden,0.7933333333333333,0.7485714285714284,0.856,0.8801904761904763,0.5932870210563709,0.8925714285714286,0.15612494995995993,0.21930626551751342,0.16852299546352714,0.13272513994717988,0.29820169990660833,0.13022220674390256,0.5613292320212204,44,18,accuracy✗ recall✗ kappa✗,0.03347719824395147,0.2582130597205127,0.051642611944102544,-2.220446049250313e-18,13,9,5
RF+calib-sigmoid thr0.5,0.8066666666666668,0.88,0.7040000000000001,0.8285815295815295,0.5908970068348377,0.8925714285714287,0.10950224080237235,0.14093951035189278,0.24576411454889016,0.12447017332696983,0.2393486733817116,0.11701502897834416,0.5,21,37,accuracy✓ recall✓ kappa✗,0.031087184022418234,0.13777973592334422,0.027555947184668843,0.013333333333333334,7,4,5
RF cw pos:neg=0.714:1 thr0.5,0.7999999999999998,0.84,0.7440000000000001,0.8350735930735931,0.587954838719295,0.888,0.13176156917368248,0.18589734567564892,0.2122891110412088,0.12669278888708307,0.2668421253680616,0.13168711629707539,0.5,28,32,accuracy✗ recall✓ kappa✗,0.02814501590687548,0.20706079331809077,0.04141215866361815,0.006666666666666665,8,5,5
RF cw pos:neg=0.6:1 thr@OOB-kappa,0.79,0.7714285714285716,0.816,0.8613492063492063,0.5821763079750696,0.8925714285714286,0.1523732016878053,0.22961073240459415,0.1907878402833891,0.13282466866207582,0.29162477393635744,0.13022220674390256,0.5369238054077066,40,23,accuracy✗ recall✗ kappa✗,0.022366485162650152,0.26877197685792603,0.053754395371585204,-0.0033333333333333327,11,9,5
RF thr0.6 (fixed),0.7900000000000001,0.7771428571428572,0.8080000000000002,0.8613333333333333,0.5772633779073408,0.8982857142857144,0.13202482931462384,0.17535192990020923,0.18690461025168248,0.12790793676401008,0.2644075970190796,0.12339582899046832,0.6,39,24,accuracy✗ recall✗ kappa✗,0.017453555094921306,0.23238742569855708,0.046477485139711415,-0.003333333333333339,12,10,5
RF+calib-isotonic thr0.5,0.7933333333333333,0.8114285714285715,0.7680000000000001,0.8496767676767676,0.5744533912503552,0.884,0.12056963563450392,0.14708043058552858,0.22861904265976327,0.12799994698319353,0.2545608230309288,0.12958069479125756,0.5,33,29,accuracy✗ recall✓ kappa✗,0.014643568437935763,0.16248195684326772,0.032496391368653545,-2.220446049250313e-18,11,7,5
RF+calib-sigmoid thr@innerCV-kappa,0.79,0.7828571428571429,0.8,0.8644285714285715,0.5734016914667069,0.8925714285714287,0.12056963563450392,0.16557465381632103,0.223606797749979,0.13053750619029686,0.24691976039804994,0.11701502897834416,0.547544408917911,38,25,accuracy✗ recall✗ kappa✗,0.013591868654287534,0.1750216662973749,0.03500433325947498,-0.0033333333333333257,12,7,5
RF thr@insample-kappa (control),0.7966666666666665,0.8742857142857143,0.6880000000000002,0.8127243867243868,0.5720008904418172,0.8982857142857144,0.0994196120454071,0.1447493728911492,0.208806130178211,0.11206187298751596,0.2101581740011855,0.12339582899046832,0.502,22,39,accuracy✗ recall✓ kappa✗,0.012191067629397798,0.10398229452257104,0.02079645890451421,0.003333333333333335,3,2,5
RF cw pos:neg=0.4:1 thr0.5,0.7833333333333333,0.7485714285714284,0.8320000000000001,0.8765238095238095,0.5697169162246563,0.8891428571428571,0.14231876063832774,0.21140926552783917,0.1973153144926499,0.13096058175379727,0.2783279887336713,0.13224127609048855,0.5,44,21,accuracy✗ recall✗ kappa✗,0.009907093412236749,0.21249135471673805,0.04249827094334761,-0.009999999999999988,15,8,5
RF thr0.65 (fixed),0.7799999999999998,0.72,0.8640000000000001,0.8926666666666666,0.5663153888478966,0.8982857142857144,0.13582736864886277,0.18662778992633736,0.18,0.12997955752405707,0.2647676204101951,0.12339582899046832,0.65,49,17,accuracy✗ recall✗ kappa✗,0.006505566035477152,0.22446306728581913,0.044892613457163826,-0.01333333333333334,14,10,5
RF thr@innerCV-kappa,0.7866666666666666,0.7885714285714286,0.784,0.8556984126984127,0.5660470606708998,0.8982857142857144,0.11557024479285956,0.17063307492541827,0.21540659228538017,0.13105404703522158,0.23365152867963224,0.12339582899046832,0.5628500000000001,37,27,accuracy✗ recall✗ kappa✗,0.006237237858480249,0.175218235432668,0.035043647086533604,-0.006666666666666661,11,6,5
RF cw=balanced thr@OOB-kappa,0.7833333333333333,0.7657142857142858,0.8079999999999999,0.8627619047619048,0.565819111647285,0.8891428571428571,0.1272937693043289,0.2057010577757636,0.20396078054371142,0.12833859723574356,0.24654395238328447,0.1312732000875445,0.5514233363651612,41,24,accuracy✗ recall✗ kappa✗,0.006009288834865587,0.19537936789732435,0.03907587357946487,-0.01,10,7,5
RF undersample x1 thr0.5,0.7833333333333333,0.7885714285714286,0.7760000000000001,0.8466132756132757,0.5623306943087728,0.8782857142857142,0.1295469312929002,0.21076472358410217,0.20264912204760885,0.1153306257239897,0.2565913116407353,0.1308735693578447,0.5,37,28,accuracy✗ recall✗ kappa✗,0.0025208714963533565,0.19356172824883303,0.038712345649766604,-0.010000000000000009,10,10,5
baseline RF thr0.5,0.7933333333333333,0.8857142857142858,0.664,0.8055598845598846,0.5598098228124194,0.8982857142857144,0.1024017143953709,0.13041013273932528,0.2360790827950103,0.11346907771991549,0.22829928909169256,0.12339582899046832,0.5,20,42,accuracy✗ recall✓ kappa✗,0.0,0.0,0.0,0.0,0,0,5
RF cw pos:neg=0.6:1 thr@innerCV-kappa,0.7766666666666666,0.7428571428571429,0.8240000000000001,0.8624603174603175,0.5592518947874985,0.8925714285714286,0.14969103983674978,0.2404644032943352,0.1854723699099141,0.12763828899209845,0.2846987058192176,0.13022220674390256,0.5401750000000001,45,22,accuracy✗ recall✗ kappa✗,-0.0005579280249209306,0.2369283438854425,0.047385668777088504,-0.016666666666666656,12,9,5
RF cw=bal_subsample thr0.5,0.7899999999999998,0.8742857142857143,0.672,0.8104588744588744,0.5532271076149035,0.8908571428571429,0.12756625003561148,0.15050933932646768,0.2700617213403879,0.1341721491207674,0.2789678353943979,0.1286296164625104,0.5,22,41,accuracy✗ recall✓ kappa✗,-0.0065827151975159605,0.15852902469556523,0.03170580493911305,-0.0033333333333333435,4,3,5
RF thr@innerCV-youden,0.7733333333333333,0.7314285714285714,0.8320000000000001,0.8708730158730159,0.5515460616699007,0.8982857142857144,0.13289859682117428,0.20751198637619928,0.17962924780409972,0.12860770725673956,0.2537138401781427,0.12339582899046832,0.60865,47,21,accuracy✗ recall✗ kappa✗,-0.008263761142518762,0.19826412164593973,0.039652824329187944,-0.01999999999999999,13,7,5
RF cw pos:neg=0.5:1 thr@innerCV-kappa,0.7733333333333333,0.7371428571428572,0.8240000000000001,0.8732380952380953,0.5499581708420718,0.8925714285714287,0.1473531912208316,0.23211538298959886,0.22597935008904388,0.1433783609627835,0.2855337954771281,0.1252290418599858,0.5195000000000001,46,22,accuracy✗ recall✗ kappa✗,-0.009851651970347661,0.22320860116003788,0.044641720232007576,-0.019999999999999997,11,8,5
RF cw=balanced thr@innerCV-kappa,0.7733333333333333,0.7542857142857143,0.8,0.8629249639249639,0.5431562007810884,0.8891428571428571,0.14930394055974097,0.21237241067597867,0.2581988897471611,0.14750909312221314,0.30045412448143377,0.1312732000875445,0.5576000000000001,43,25,accuracy✗ recall✗ kappa✗,-0.016653622031331007,0.1968195564949297,0.039363911298985935,-0.02,9,8,5
RF thr@OOB-youden,0.7666666666666667,0.7371428571428571,0.8080000000000002,0.8639682539682539,0.5335802502660089,0.8982857142857144,0.1295469312929002,0.19639610121239315,0.21197484127446192,0.1301383126165496,0.2575789644039825,0.12339582899046832,0.6244604423562423,46,24,accuracy✗ recall✗ kappa✗,-0.026229572546410646,0.20678506611439468,0.041357013222878936,-0.026666666666666658,9,10,5
RF thr@OOB-kappa,0.7733333333333333,0.8,0.7360000000000001,0.8324227994227995,0.5330958012209386,0.8982857142857144,0.11912100912439759,0.17496355305594127,0.24303634844744246,0.12988502595146703,0.2491226517359202,0.12339582899046832,0.566782049901221,35,33,accuracy✗ recall✓ kappa✗,-0.026714021591480886,0.15708032102406402,0.031416064204812806,-0.019999999999999997,5,9,5
RF undersample x15 thr0.6,0.7566666666666667,0.6685714285714285,0.88,0.8912380952380952,0.5295718726926157,0.8982857142857142,0.1500771406582233,0.22100574068328177,0.15275252316519466,0.1361599303906657,0.28139823224236155,0.12373990716761646,0.6,58,15,accuracy✗ recall✗ kappa✗,-0.03023795011980371,0.2633391871642704,0.05266783743285408,-0.03666666666666666,13,12,5
RF cw=bal_subsample thr@OOB-kappa,0.7666666666666667,0.7657142857142857,0.7680000000000001,0.8517027417027417,0.5281851354617259,0.8908571428571429,0.14632852434517693,0.23647064796066927,0.2625515822335362,0.1405088937603199,0.293705728768038,0.1286296164625104,0.5929916418598211,41,29,accuracy✗ recall✗ kappa✗,-0.03162468735069354,0.23335534485945622,0.046671068971891244,-0.02666666666666666,7,11,5
RF undersample x15 thr@innerCV-kappa,0.7633333333333334,0.7485714285714284,0.784,0.8489624819624819,0.524400295488281,0.8982857142857142,0.135400640077266,0.21539395957902174,0.2303620339089466,0.1379937972377069,0.26807311273589507,0.12373990716761646,0.5180222222222222,44,27,accuracy✗ recall✗ kappa✗,-0.03540952732413834,0.20480821634360624,0.040961643268721246,-0.030000000000000006,9,8,5
RF cw pos:neg=1.4:1 thr0.5,0.7733333333333333,0.8971428571428572,0.6000000000000001,0.7795974025974027,0.5099731338846489,0.8954285714285715,0.10352580640880124,0.12724180205607036,0.2581988897471611,0.119405557066434,0.23775681299661414,0.13084757710929978,0.5,18,50,accuracy✗ recall✓ kappa✗,-0.0498366889277705,0.1139389247237308,0.022787784944746158,-0.019999999999999997,1,7,5
