feature,mean_importance
avg_small_blob_diam_px,0.20499159056586463
blob_max,0.14264686403345453
texture,0.12318294149114266
cluster_density,0.1071698121186048
n_small_sharp_blobs,0.10169984140272972
ratio_small_to_large,0.06536790606808897
sd_G,0.05255039112232618
A_high,0.03657755472977545
brightness_sd,0.023340718904816756
F_p95,0.023180614379769725
A_low,0.021327435236078295
sd_B,0.014743921364581742
mean_B,0.014540194529092453
brightness_mean,0.012100522741196777
sd_R,0.011756258891874934
mean_R,0.010153154051227593
mean_G,0.009773386555874564
NDFI_p05,0.008169302489963597
NDFI_mean,0.006524906886261619
NDFI_p95,0.005062976762925507
avg_large_blotch_diam_px,0.0026472356355514088
n_large_blotches,0.0024924700387981918
F_p05,0.0
uv_exclusive_dot_frac,0.0
